"samplesize","type","kurtx.x1","skewx.x1","rmall.SWA_mean.BM3","rmall.SWA_mean.SQM","rmall.SWA_mean.BM2","rmall.SWA_mean.WM","rmall.SWA_mean.BWM","rmall.SWA_mean.TM","rmall.SWAHLM_mean.SWAHLM2_16.BM3","rmall.SWAHLM_mean.SWAHLM2_16.SQM","rmall.SWAHLM_mean.SWAHLM2_16.BM2","rmall.SWAHLM_mean.SWAHLM2_16.WM","rmall.SWAHLM_mean.SWAHLM2_16.BWM","rmall.SWAHLM_mean.SWAHLM2_16.TM","rmall.SWAHLM_mean.SWAHLM2_16.median","rmall.SWAHLM_mean.SWAHLM3_16.MH","rmall.SWAHLM_mean.SWAHLM3_16.WM","rmall.SWAHLM_mean.SWAHLM3_16.BWM","rmall.SWAHLM_mean.SWAHLM3_16.TM","rmall.SWAHLM_mean.SWAHLM3_16.median","rmall.SWAHLM_mean.SWAHLM4_16.MH","rmall.SWAHLM_mean.SWAHLM4_16.WM","rmall.SWAHLM_mean.SWAHLM4_16.BWM","rmall.SWAHLM_mean.SWAHLM4_16.TM","rmall.SWAHLM_mean.SWAHLM4_16.median","qmall.CDF_SWA_mean.pc_meanBM3","qmall.CDF_SWA_mean.pc_meanSQM","qmall.CDF_SWA_mean.pc_meanBM2","qmall.CDF_SWA_mean.pc_meanWM","qmall.CDF_SWA_mean.pc_meanBWM","qmall.CDF_SWA_mean.pc_meanTM","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM2_16.BM3","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM2_16.SQM","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM2_16.BM2","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM2_16.WM","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM2_16.BWM","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM2_16.TM","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM2_16.median","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM3_16.MH","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM3_16.WM","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM3_16.BWM","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM3_16.TM","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM3_16.median","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM4_16.MH","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM4_16.WM","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM4_16.BWM","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM4_16.TM","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM4_16.median","rvarall.SWAvar.BM3","rvarall.SWAvar.SQM","rvarall.SWAvar.BM2","rvarall.SWAvar.WM","rvarall.SWAvar.BWM","rvarall.SWAvar.TM","rvarall.SWAHLM_var.SWAHLM2_31256.MH","rvarall.SWAHLM_var.SWAHLM2_31256.WM","rvarall.SWAHLM_var.SWAHLM2_31256.BWM","rvarall.SWAHLM_var.SWAHLM2_31256.TM","rvarall.SWAHLM_var.SWAHLM2_31256.median","rvarall.SWAHLM_var.SWAHLM3_31256.WM","rvarall.SWAHLM_var.SWAHLM3_31256.TM","rvarall.SWAHLM_var.SWAHLM3_31256.median","rvarall.SWAHLM_var.SWAHLM4_31256.WM","rvarall.SWAHLM_var.SWAHLM4_31256.TM","rvarall.SWAHLM_var.SWAHLM4_31256.median","qvarall.CDF_SWA_var.pc_varBM3","qvarall.CDF_SWA_var.pc_varSQM","qvarall.CDF_SWA_var.pc_varBM2","qvarall.CDF_SWA_var.pc_varWM","qvarall.CDF_SWA_var.pc_varBWM","qvarall.CDF_SWA_var.pc_varTM","qvarall.CDF_SWAHLM_var.pc_varSWAHLM2_31256.MH","qvarall.CDF_SWAHLM_var.pc_varSWAHLM2_31256.WM","qvarall.CDF_SWAHLM_var.pc_varSWAHLM2_31256.BWM","qvarall.CDF_SWAHLM_var.pc_varSWAHLM2_31256.TM","qvarall.CDF_SWAHLM_var.pc_varSWAHLM2_31256.median","qvarall.CDF_SWAHLM_var.pc_varSWAHLM3_31256.WM","qvarall.CDF_SWAHLM_var.pc_varSWAHLM3_31256.TM","qvarall.CDF_SWAHLM_var.pc_varSWAHLM3_31256.median","qvarall.CDF_SWAHLM_var.pc_varSWAHLM4_31256.WM","qvarall.CDF_SWAHLM_var.pc_varSWAHLM4_31256.TM","qvarall.CDF_SWAHLM_var.pc_varSWAHLM4_31256.median","rtmall.SWAtm.MH","rtmall.SWAtm.WM","rtmall.SWAtm.BWM","rtmall.SWAtm.TM","rtmall.SWAHLM_tm.SWAHLM2_741.WM","rtmall.SWAHLM_tm.SWAHLM2_741.TM","rtmall.SWAHLM_tm.SWAHLM2_741.median","rtmall.SWAHLM_tm.SWAHLM3_741.WM","rtmall.SWAHLM_tm.SWAHLM3_741.TM","rtmall.SWAHLM_tm.SWAHLM3_741.median","qtmall.CDF_SWA_tm.pc_tmMH","qtmall.CDF_SWA_tm.pc_tmWM","qtmall.CDF_SWA_tm.pc_tmBWM","qtmall.CDF_SWA_tm.pc_tmTM","qtmall.CDF_SWAHLM_tm.pc_tmSWAHLM2_741.WM","qtmall.CDF_SWAHLM_tm.pc_tmSWAHLM2_741.TM","qtmall.CDF_SWAHLM_tm.pc_tmSWAHLM2_741.median","qtmall.CDF_SWAHLM_tm.pc_tmSWAHLM3_741.WM","qtmall.CDF_SWAHLM_tm.pc_tmSWAHLM3_741.TM","qtmall.CDF_SWAHLM_tm.pc_tmSWAHLM3_741.median","rfmall.SWAfm.MH","rfmall.SWAfm.WM","rfmall.SWAfm.BWM","rfmall.SWAfm.TM","rfmall.SWAHLM_fm.SWAHLM2_312.WM","rfmall.SWAHLM_fm.SWAHLM2_312.TM","rfmall.SWAHLM_fm.SWAHLM2_312.median","qfmall.CDF_SWA_fm.pc_fmMH","qfmall.CDF_SWA_fm.pc_fmWM","qfmall.CDF_SWA_fm.pc_fmBWM","qfmall.CDF_SWA_fm.pc_fmTM","qfmall.CDF_SWAHLM_fm.pc_fmSWAHLM2_312.WM","qfmall.CDF_SWAHLM_fm.pc_fmSWAHLM2_312.TM","qfmall.CDF_SWAHLM_fm.pc_fmSWAHLM2_312.median"
3686400,1,5,1.24032794840138,5,15,18,10,19,22,14,8,13,11,16,20,23,3,4,9,12,21,1,2,6,7,17,37,29,41,36,44,45,27,26,32,31,39,42,46,25,30,35,38,43,24,28,33,34,40,34,29,26,25,22,19,21,24,33,32,28,20,30,31,18,23,27,9,17,5,10,2,1,16,13,6,4,3,14,8,7,15,12,11,20,19,14,13,18,12,11,17,15,16,2,5,3,7,10,6,1,9,8,4,1,2,5,6,3,4,7,11,11,11,11,11,11,11
3686400,1,5.2,1.29037064724064,5,17,18,11,20,22,15,7,13,10,16,19,23,3,4,9,12,21,1,2,6,8,14,37,30,41,35,43,45,27,26,31,34,40,42,46,24,28,36,38,44,25,29,33,32,39,34,32,29,26,21,17,24,25,30,28,23,18,27,31,19,22,33,14,16,7,12,3,2,20,11,6,8,1,10,5,4,9,13,15,20,19,14,13,17,12,11,18,16,15,6,5,4,2,10,3,1,9,8,7,1,2,5,6,3,4,7,11,11,11,11,11,11,11
3686400,1,5.39999999999996,1.33836768922713,5,15,19,10,20,22,14,9,13,11,16,18,23,1,3,8,12,21,2,4,6,7,17,37,31,41,36,42,45,27,29,34,33,40,43,46,26,28,35,38,44,24,25,32,30,39,33,34,30,32,23,20,22,25,29,28,18,19,27,26,17,21,31,12,16,7,9,3,2,24,14,6,4,1,15,8,5,11,10,13,20,19,14,13,18,12,11,17,16,15,5,8,4,2,10,7,1,9,3,6,1,2,6,5,3,4,7,11,11,11,11,11,11,11
3686400,1,5.60000000000003,1.38454084889859,5,15,19,11,20,22,13,8,14,10,17,18,23,2,4,9,12,21,1,3,6,7,16,41,32,40,35,43,45,30,29,31,27,39,42,46,26,24,36,37,44,25,28,33,34,38,33,32,29,30,22,17,27,26,25,21,13,16,24,20,15,23,31,19,34,6,14,3,2,28,11,7,5,1,8,9,4,10,12,18,20,19,14,12,18,13,11,16,17,15,5,10,2,1,7,8,3,6,9,4,1,2,6,5,3,4,7,11,11,11,11,11,11,11
3686400,1,5.80000000000001,1.42907439781766,5,15,19,11,20,22,13,8,14,10,16,18,23,2,4,9,12,21,1,3,6,7,17,40,36,41,34,42,45,33,30,31,32,38,43,46,29,24,35,37,44,27,25,28,26,39,33,31,30,27,22,20,23,25,29,28,21,18,26,34,19,24,32,13,14,7,6,4,1,15,11,3,5,2,9,8,10,12,16,17,20,18,15,13,17,12,11,19,16,14,3,7,5,4,10,8,1,9,6,2,1,2,5,7,3,4,6,11,11,11,11,11,11,11
3686400,1,6.00000000000001,1.47212344975772,6,15,19,9,20,22,13,10,14,11,16,18,23,3,4,8,12,21,1,2,5,7,17,41,39,40,31,42,45,33,34,35,29,38,43,46,26,25,32,36,44,24,27,28,30,37,33,32,29,31,25,18,27,26,24,21,9,17,22,20,16,23,28,15,34,7,14,3,2,30,11,5,4,1,13,8,6,12,19,10,20,19,14,13,18,12,11,16,17,15,4,3,1,6,10,9,2,8,7,5,2,3,6,5,1,4,7,11,11,11,11,11,11,11
3686400,1,6.19999999999997,1.51382005642444,6,15,20,11,19,22,13,9,14,10,16,18,23,2,4,8,12,21,1,3,5,7,17,40,35,43,39,41,45,31,26,37,32,38,42,46,25,33,30,36,44,24,27,29,28,34,33,32,30,29,21,14,27,24,23,20,10,13,22,25,15,19,26,16,34,7,12,3,2,31,28,5,4,1,9,8,6,11,17,18,20,19,14,13,18,12,11,17,15,16,7,8,4,2,10,6,1,3,9,5,1,2,5,6,3,4,7,11,11,11,11,11,11,11
3686400,1,6.39999999999998,1.55427775379429,7,15,20,11,19,22,13,9,14,10,16,18,23,3,4,8,12,21,1,2,5,6,17,41,30,43,39,42,45,29,26,36,35,38,40,46,27,28,32,34,44,24,25,33,31,37,33,32,31,30,26,19,21,22,28,25,16,17,24,29,18,23,20,15,34,10,14,3,2,27,8,4,6,1,13,5,7,9,12,11,20,19,14,13,18,12,11,17,16,15,6,2,3,9,10,7,1,8,4,5,2,3,6,7,1,4,5,11,11,11,11,11,11,11
3686400,1,6.59999999999997,1.59359501524584,7,16,20,11,19,22,13,10,15,9,17,18,23,3,4,8,12,21,1,2,5,6,14,40,31,43,39,42,45,29,27,37,36,35,41,46,25,28,33,32,44,24,26,38,34,30,34,32,30,28,25,19,20,21,26,24,15,17,23,31,18,22,29,16,33,8,13,3,2,27,10,7,4,1,11,6,5,14,9,12,20,19,14,13,18,12,11,16,15,17,3,4,2,10,6,5,1,7,9,8,2,3,5,6,1,4,7,11,11,11,11,11,11,11
3686400,1,6.79999999999998,1.63185791687235,7,15,20,11,19,22,13,8,14,10,16,18,23,2,4,9,12,21,1,3,5,6,17,42,34,44,38,41,45,30,25,37,26,40,39,46,29,24,35,33,43,27,28,31,32,36,34,33,32,30,29,18,25,21,28,23,14,17,27,22,16,26,20,15,31,9,13,3,2,24,19,5,6,1,10,7,4,11,12,8,20,19,14,13,18,12,11,15,16,17,5,9,2,7,10,3,1,4,8,6,1,2,6,5,3,4,7,11,11,11,11,11,11,11
3686400,1,7.00000000000001,1.66914222433368,7,15,20,11,19,22,13,10,14,9,16,18,23,2,4,8,12,21,1,3,5,6,17,43,40,44,35,41,45,34,32,33,31,39,38,46,30,24,29,37,42,28,27,26,25,36,34,30,31,29,27,17,23,18,25,21,10,16,22,24,15,20,26,28,32,6,19,5,2,33,11,9,4,1,8,7,3,14,13,12,20,19,14,13,18,12,11,16,17,15,7,4,2,6,10,3,1,9,8,5,2,3,6,5,1,4,7,11,11,11,11,11,11,11
3686400,1,7.20000000000001,1.70551504783168,9,15,20,11,19,22,13,7,14,10,16,18,23,3,4,8,12,21,1,2,5,6,17,44,37,42,33,43,45,38,34,31,26,39,41,46,32,24,30,35,40,29,25,27,28,36,34,32,31,30,27,19,26,23,25,20,12,14,22,28,16,24,29,17,33,11,13,3,2,21,18,4,7,1,9,6,5,8,10,15,20,19,14,12,18,13,11,15,16,17,5,9,2,10,6,7,1,4,8,3,2,3,5,6,1,4,7,11,11,11,11,11,11,11
