"size","dtype","kurtx","skewx","mean_AB_exp","mean_AB_Weibull","var_AB_exp","var_AB_Weibull","tm_AB_exp","tm_AB_Weibull","fm_AB_exp","fm_AB_Weibull","mean_SE_exp","mean_SE_Weibull","var_SE_exp","var_SE_Weibull","tm_SE_exp","tm_SE_Weibull","fm_SE_exp","fm_SE_Weibull"
1800000,1,12.6,2.47433242663209,2,1,12,3,12,7,3,3,7,7,7,7,11,11,11,7
1800000,1,12.8,2.49764717800315,2,1,12,3,12,5,3,3,7,7,7,7,11,11,11,7
1800000,1,13,2.52070895519976,2,1,12,3,12,1,3,3,7,7,7,11,11,11,11,11
1800000,1,13.2,2.54352515754396,2,1,12,3,12,1,3,3,7,7,7,11,11,11,11,7
1800000,1,13.4,2.5661028349387,2,1,12,3,12,1,3,3,7,7,7,7,11,11,11,7
1800000,1,13.6,2.58844871049157,2,1,12,3,12,1,3,3,7,7,7,7,11,11,11,7
1800000,1,13.8,2.61056920128876,2,1,12,3,12,1,3,3,7,7,7,11,11,5,11,7
1800000,1,14,2.632470437501,2,1,12,3,12,1,3,3,7,7,7,7,11,5,11,7
1800000,1,14.2,2.65415827998245,2,1,12,3,12,1,3,3,7,7,7,7,11,11,11,7
1800000,1,14.4,2.6756383365054,2,1,12,3,12,1,3,3,7,7,7,7,11,11,11,7
1800000,1,14.6,2.69691597675802,2,1,12,3,12,1,3,3,7,7,7,7,11,7,11,7
1800000,1,14.8,2.71799634621836,2,1,12,3,12,1,3,3,7,7,7,7,11,11,11,7
1800000,1,15,2.73888437900616,2,1,12,3,12,1,3,3,7,7,7,7,11,11,11,7
1800000,1,15.2,2.75958480980281,2,1,12,3,12,1,3,3,7,7,7,7,11,3,11,7
1800000,1,15.3999999999999,2.78010218492096,2,1,12,3,12,1,3,3,7,7,7,7,11,11,11,7
1800000,1,15.6,2.80044087259686,2,1,12,3,12,3,3,3,7,7,7,7,11,11,11,7
1800000,1,15.8,2.82060507257085,2,1,12,3,12,3,3,3,7,7,7,7,11,11,11,7
1800000,1,16,2.84059882501572,2,1,12,3,12,3,3,3,7,7,7,7,11,7,11,7
1800000,1,16.2,2.86042601886603,2,1,12,3,12,1,3,3,7,7,7,7,11,7,11,7
1800000,1,16.4,2.88009039959704,2,1,12,3,12,1,3,3,7,7,7,11,11,7,11,11
1800000,1,16.6,2.89959557649698,2,1,12,3,12,1,3,3,7,7,7,7,11,3,11,7
1800000,1,16.8,2.91894502947258,2,1,12,3,12,1,3,3,7,7,7,7,11,7,11,7
1800000,1,17,2.93814211542352,2,1,12,3,12,1,3,3,7,7,7,7,11,7,11,7
1800000,1,17.2,2.95719007421951,2,1,12,3,12,1,3,3,7,7,7,11,11,3,11,11
1800000,1,17.4,2.97609203430904,4,1,12,3,12,1,3,3,7,7,7,7,11,7,11,7
1800000,1,17.6,2.99485101798764,4,1,12,3,12,3,3,3,7,7,7,7,11,7,11,7
1800000,1,17.8,3.01346994635059,4,1,12,3,12,1,3,3,7,7,7,11,11,3,11,11
1800000,1,18,3.03195164395263,4,1,12,3,12,1,3,3,7,7,7,7,11,7,11,7
1800000,1,18.2,3.05029884319575,4,1,12,3,12,3,3,3,7,7,7,7,11,7,11,7
1800000,1,18.4,3.06851418846428,4,1,12,3,12,3,3,3,7,7,7,7,11,7,11,7
