"size","dtype","kurtx","skewx","mean_BM38_drm","mean_BM38_dqm","mean_sqm8_drm","mean_sqm8_dqm","mean_BM28_drm","mean_BM28_dqm","mean_wm8_drm","mean_wm8_dqm","mean_bwm8_drm","mean_bwm8_dqm","mean_tm8_drm","mean_tm8_dqm","var_BM38_drm","var_BM38_dqm","var_sqm8_drm","var_sqm8_dqm","var_BM28_drm","var_BM28_dqm","var_wm8_drm","var_wm8_dqm","var_bwm8_drm","var_bwm8_dqm","var_tm8_drm","var_tm8_dqm","tm_BM38_drm","tm_BM38_dqm","tm_sqm8_drm","tm_sqm8_dqm","tm_BM28_drm","tm_BM28_dqm","tm_wm8_drm","tm_wm8_dqm","tm_bwm8_drm","tm_bwm8_dqm","tm_tm8_drm","tm_tm8_dqm","fm_BM38_drm","fm_BM38_dqm","fm_sqm8_drm","fm_sqm8_dqm","fm_BM28_drm","fm_BM28_dqm","fm_wm8_drm","fm_wm8_dqm","fm_bwm8_drm","fm_bwm8_dqm","fm_tm8_drm","fm_tm8_dqm"
1800000,1,11.4,2.32866633860425,0.39103194911306,0.320467272202931,0.391012579288802,0.320452921089298,0.841263460187713,0.690338054114277,0.629596217458287,0.516388592471735,1.05103900474516,0.862831551290222,1.67798514069956,1.37862852662728,0.859688790762792,0.38928175979769,0.784584605588041,0.355808537610959,1.55861619224874,0.696149264197044,1.15303566588258,0.518626135922889,1.82668323419526,0.812395895350296,2.73491023227667,1.20284593313797,2.01288438973426,0.427405306709496,1.72090259069188,0.372321339053131,3.35853486679153,0.667767543636619,2.41264173109422,0.501180422292244,3.76208918282354,0.736903662188031,5.39422231443376,1.00281081261669,4.35812707326767,0.541991482212379,3.55877355397446,0.45758615533195,7.09825081372318,0.812654245970409,4.9194111251868,0.600021474976262,7.75667542826004,0.874446198013026,10.9240553137978,1.15966589995388
1800000,1,11.6,2.35367730985473,0.392402968102578,0.32051327629857,0.392199521325929,0.320345325983534,0.843297865109821,0.689666562661536,0.631141486097591,0.515906910861529,1.05325365708858,0.861729682198888,1.68097334470486,1.37638845717204,0.86898912949165,0.390718061896156,0.792308240666753,0.356782051540362,1.57290942718159,0.697055557352558,1.16334155123831,0.519430698175686,1.84205262049455,0.812958605594702,2.75576744344343,1.20266288634022,2.04604046277089,0.429242174793047,1.74738277702145,0.373712000840569,3.41253449632826,0.66993282664423,2.44895839190379,0.502564150339419,3.81954823436719,0.738085036600822,5.47415874985441,1.00398334674538,4.45149053835102,0.543267638773277,3.62911324056282,0.458223186106541,7.24925056283056,0.812942498483494,5.01686258147984,0.600015228885324,7.91736454940395,0.874101484181384,11.1476081062781,1.15823378057751
1800000,1,11.8,2.37838201502463,0.393777781542033,0.320559749883138,0.393388890403514,0.320245817051582,0.845339418717368,0.689030213523439,0.632690843553859,0.51543938953927,1.05547576706363,0.860644167768633,1.68397224817424,1.3742185809686,0.878293321057886,0.392007936066791,0.799339545544625,0.35732981392567,1.58725850508077,0.697946395592818,1.17314226178767,0.51994819769789,1.85751223016075,0.813225260788055,2.77685661289441,1.20233862059586,2.07916959502596,0.430829639171563,1.77416317211324,0.374945771156095,3.46646046226155,0.671823027838278,2.48538006153018,0.503741951780656,3.87692482271576,0.739655536063259,5.55395723489626,1.00503685088386,4.5454088801734,0.544410987372333,3.70118864598854,0.459074426745624,7.40137101378396,0.813515220290804,5.11627619040094,0.600341867935463,8.0792144699641,0.874372029382694,11.3729511469555,1.15692055338335
1800000,1,12,2.40279055841865,0.395155721743077,0.3206205234216,0.394580145511888,0.320159228011674,0.847387066421453,0.688400687603093,0.634243543130485,0.514995134182451,1.05770419960278,0.859599145447539,1.68698029410878,1.37207961324594,0.887616932023285,0.393167843578325,0.807492558617209,0.358380986331844,1.60170424238095,0.69916270628993,1.18383238305458,0.520731006498591,1.87311226483649,0.814290205861356,2.79827448116218,1.20215300028596,2.11232633291124,0.432618347985696,1.80151874905596,0.376321409185331,3.52040225253874,0.673743161407881,2.52225959864454,0.505260613363194,3.93433409803218,0.740986454814306,5.63382220820555,1.00637554597176,4.63993255200182,0.54542498565285,3.77396879563013,0.459816546064353,7.55464361548016,0.813801592005525,5.2162723409585,0.600806635254554,8.24226735237226,0.874229985771377,11.60011265706,1.15557902019862
1800000,1,12.2,2.4269125066197,0.396536178185634,0.320692585665228,0.395772793050379,0.320077494559008,0.849439841959848,0.687815504460938,0.635798902272165,0.514571438646966,1.05993791509513,0.858604655398258,1.68999605567199,1.37000505174152,0.896803274602841,0.394697951135925,0.815320295663921,0.359410585669897,1.61587307547046,0.700150649263882,1.19408609751343,0.521553236769908,1.8883666915751,0.814791821319872,2.81906453622089,1.20175832525972,2.1454755753073,0.434500082704826,1.82774179565843,0.37750941802636,3.57427150140261,0.675203884772205,2.55824220489959,0.506602966676218,3.99166012831678,0.742504648144809,5.71351398625615,1.00714937477355,4.73522857834711,0.546319367532663,3.84577677288115,0.460194439012343,7.7093228711187,0.81426058066661,5.31595330284469,0.6009435395215,8.40684373110733,0.873948197291084,11.829638913274,1.15457277628673
1800000,1,12.4,2.45075692766633,0.397918592156635,0.320778436737065,0.396966382337042,0.320007577094534,0.851496859196228,0.6872669753013,0.637356296544501,0.514169919588767,1.06217596050744,0.857615049362523,1.69301822411373,1.36798302247522,0.906058497150141,0.395619746945334,0.823059786008026,0.360274483772299,1.63024938305051,0.701003659166631,1.20444141378132,0.522376723835293,1.90390626882832,0.815422618514167,2.84046528166586,1.20184322150381,2.17877888009408,0.435975870258217,1.8544405826352,0.378811267084235,3.62858154158497,0.677133168135641,2.59469540872417,0.507711874045867,4.04950970619273,0.743792033785402,5.79424532464517,1.0081286166925,4.83070616274233,0.547448745983694,3.91937624583553,0.460973962017312,7.86395614126845,0.81495149981215,5.4171049128922,0.601413835536168,8.57125457408543,0.874290671954789,12.0583324379968,1.15324126497868
1800000,1,12.6,2.47433242663209,0.399302451970245,0.320869669321253,0.398160501606885,0.319954152389545,0.853557304801503,0.68671678997517,0.638915154265625,0.513779370867787,1.06441746146214,0.856673621761644,1.69604559799444,1.36602462776307,0.915138776831352,0.396889182197309,0.830312494327191,0.360997890625547,1.64424749285507,0.702150404489181,1.21427886889961,0.522811251032288,1.91897087426855,0.815684382582665,2.86098028853105,1.20156890303383,2.21196874431081,0.437739759923384,1.88145470665086,0.380190472284192,3.68263800566152,0.67923669404292,2.63146038293978,0.509125187277602,4.10704616875058,0.745292605430719,5.87439233946226,1.00923656917596,4.92693888237527,0.548508158594899,3.99215222701019,0.461497640932176,8.02010763302239,0.815047374521497,5.51781651986069,0.60160863171855,8.73730971116071,0.874300164460298,12.289706440426,1.15195981725768
