"samplesize","type","kurtx.x1","skewx.x1","ikurt1.rkurtall189","ikurt2","iskew1","iskew2"
2654208,1,2.80000000000008,0.293682637210036,2,1,1,2
2654208,1,2.89999999999998,0.399876548049676,2,1,2,1
2654208,1,2.99999999999998,0.48012949922788,2,1,2,1
2654208,1,3.19999999999996,0.606466870301773,2,1,2,1
2654208,1,3.39999999999997,0.708681957162054,2,1,2,1
2654208,1,3.59999999999997,0.79681769802529,2,1,2,1
2654208,1,3.8,0.875416510651157,2,1,2,1
2654208,1,4.00000000000001,0.946995820935936,2,1,2,1
2654208,1,4.20000000000003,1.01312480394597,2,1,2,1
2654208,1,4.39999999999999,1.07486051467478,2,1,2,1
2654208,1,4.6,1.13295557377867,2,1,2,1
2654208,1,4.79999999999998,1.1879686123322,2,1,2,1
2654208,1,5,1.24032794840138,2,1,2,1
2654208,1,5.2,1.29037064724064,2,1,2,1
2654208,1,5.39999999999996,1.33836768922713,2,1,2,1
2654208,1,5.60000000000003,1.38454084889859,2,1,2,1
2654208,1,5.80000000000001,1.42907439781766,2,1,2,1
2654208,1,6.00000000000001,1.47212344975772,2,1,2,1
2654208,1,6.19999999999997,1.51382005642444,2,1,2,1
2654208,1,6.39999999999998,1.55427775379429,2,1,2,1
2654208,1,6.59999999999997,1.59359501524584,2,1,2,1
2654208,1,6.79999999999998,1.63185791687235,2,1,2,1
2654208,1,7.00000000000001,1.66914222433368,2,1,2,1
2654208,1,7.20000000000001,1.70551504783168,2,1,2,1
2654208,1,7.39999999999996,1.7410361697907,2,1,2,1
2654208,1,7.60000000000003,1.77575912113176,2,1,2,1
2654208,1,7.80000000000003,1.8097320620562,2,1,2,1
2654208,1,8.00000000000007,1.84299850911548,2,1,2,1
2654208,1,8.20000000000006,1.87559794017716,2,1,2,1
2654208,1,8.39999999999999,1.90756630148484,2,1,2,1
2654208,1,8.60000000000003,1.93893643553387,2,1,2,1
2654208,1,8.80000000000001,1.96973844439194,2,1,2,1
2654208,1,9,2,2,1,2,1
